OrderNumber,ShippingAddress,Order,AccountNumber,CartNumber
8001028,8266 Richardson Circle,Confirmed,10000301,16455
8001038,"Copperas Cove, TX 76522",Dispatched,10000304,16470
8001048,747 East Vermont Rd.,Dispatched,10000307,16485
8001058,"Merrick, NY 11566",Confirmed,10000310,16500
8001068,8164 St Margarets St.,Dispatched,10000313,16515
8001078,"Union, NJ 07083",Dispatched,10000316,16530
8001088,436 Goldfield St.,Delivered,10000319,16545
8001098,"Warwick, RI 02886",Dispatched,10000322,16560
8001108,33 Victoria St.,Delivered,10000325,16575
8001118,"Auburn, NY 13021",Delivered,10000328,16590
8001128,26 Delaware Ave.,Delivered,10000331,16605
8001138,"Dothan, AL 36301",Dispatched,10000334,16620
8001148,793 Longbranch Drive,Confirmed,10000337,16635
8001158,"Pataskala, OH 43062",Processing,10000340,16650
8001168,82 Sunnyslope Court,Processing,10000343,16665
8001178,"Irwin, PA 15642",Confirmed,10000346,16680
8001188,9 East Cedar Swamp Dr.,Confirmed,10000349,16695
8001198,"Greer, SC 29650",Dispatched,10000352,16710
8001208,950 Ashley St.,Processing,10000355,16725
8001218,"Cuyahoga Falls, OH 44221",Confirmed,10000358,16740
8001228,81 Shub Farm St.,Processing,10000361,16755
8001238,"Stockbridge, GA 30281",Delivered,10000364,16770
8001248,306 Ohio Court,Dispatched,10000367,16785
8001258,"Melbourne, FL 32904",Delivered,10000370,16800
8001268,260 Bank Road,Processing,10000373,16815
8001278,"Wasilla, AK 99654",Delivered,10000376,16830
8001288,845 Summit St.,Delivered,10000379,16845
8001298,"Panama City, FL 32404",Dispatched,10000382,16860
8001308,9613 Miles Rd.,Delivered,10000385,16875
8001318,"East Lansing, MI 48823",Dispatched,10000388,16890
8001328,8 Plumb Branch Lane,Processing,10000391,16905
8001338,"Butte, MT 59701",Delivered,10000394,16920
8001348,64 Hillside Street,Processing,10000397,16935
8001358,"Lady Lake, FL 32159",Delivered,10000400,16950
8001368,7555 Jennings Lane,Processing,10000403,16965
8001378,"Port Chester, NY 10573",Delivered,10000406,16980
8001388,766 Swanson St.,Confirmed,10000409,16995
8001398,"Canfield, OH 44406",Processing,10000412,17010
8001408,599 South Summerhouse Street,Dispatched,10000415,17025
8001418,"Ballston Spa, NY 12020",Dispatched,10000418,17040
8001428,405 North Cypress Street,Dispatched,10000421,17055
8001438,"Los Angeles, CA 90008",Confirmed,10000424,17070
8001448,7 Acacia Ave.,Processing,10000427,17085
8001458,"Saginaw, MI 48601",Dispatched,10000430,17100
8001468,694 Valley Farms Drive,Dispatched,10000433,17115
8001478,"Birmingham, AL 35209",Confirmed,10000436,17130
8001488,808 Adams St.,Dispatched,10000439,17145
8001498,"Fleming Island, FL 32003",Delivered,10000442,17160
8001508,905 Arrowhead Ave.,Dispatched,10000445,17175
8001518,"Nashville, TN 37205",Delivered,10000448,17190
8001528,95C Somerset Lane,Confirmed,10000451,17205
8001538,"Lake Mary, FL 32746",Confirmed,10000454,17220
8001548,57 Cottage Road,Confirmed,10000457,17235
8001558,"Aliquippa, PA 15001",Confirmed,10000460,17250
8001568,8959 Princess Ave.,Delivered,10000463,17265
8001578,"Garner, NC 27529",Delivered,10000466,17280
8001588,41 Glen Ridge Drive,Processing,10000469,17295
8001598,"Silver Spring, MD 20901",Dispatched,10000472,17310
8001608,179 Squaw Creek Ave.,Dispatched,10000475,17325
8001618,"Elyria, OH 44035",Confirmed,10000478,17340
8001628,113 West Drive,Dispatched,10000481,17355
8001638,"Chester, PA 19013",Dispatched,10000484,17370
8001648,8690 Beech St.,Confirmed,10000487,17385
8001658,"Reidsville, NC 27320",Processing,10000490,17400
8001668,4 Lakeview St.,Processing,10000493,17415
8001678,"Reynoldsburg, OH 43068",Dispatched,10000496,17430
8001688,409 Ann Dr.,Confirmed,10000499,17445
8001698,"Olive Branch, MS 38654",Processing,10000502,17460
8001708,7573 Garfield Street,Confirmed,10000505,17475
8001718,"Grandville, MI 49418",Dispatched,10000508,17490
8001728,921 St Paul St.,Dispatched,10000511,17505
8001738,"Goose Creek, SC 29445",Confirmed,10000514,17520
8001748,881 West Clay St.,Dispatched,10000517,17535
8001758,"Racine, WI 53402",Confirmed,10000520,17550
8001768,16 Queen St.,Confirmed,10000523,17565
8001778,"Highland, IN 46322",Confirmed,10000526,17580
8001788,206 Wild Rose St.,Confirmed,10000529,17595
8001798,"Mahwah, NJ 07430",Delivered,10000532,17610
8001808,8497 Bowman Ave.,Delivered,10000535,17625
8001818,"Mount Pleasant, SC 29464",Processing,10000538,17640
8001828,208 West Applegate Ave.,Confirmed,10000541,17655
8001838,"Akron, OH 44312",Delivered,10000544,17670
8001848,739 Big Rock Cove Drive,Confirmed,10000547,17685
8001858,"Reno, NV 89523",Confirmed,10000550,17700
8001868,578 Gregory St.,Processing,10000553,17715
8001878,"Westport, CT 06880",Processing,10000556,17730
8001888,83 Santa Clara Ave.,Delivered,10000559,17745
8001898,"Powder Springs, GA 30127",Delivered,10000562,17760
8001908,169 Amerige St.,Delivered,10000565,17775
8001918,"West Bloomfield, MI 48322",Processing,10000568,17790
8001928,98 S. Temple Dr.,Processing,10000571,17805
8001938,"Salt Lake City, UT 84119",Confirmed,10000574,17820
8001948,7 Van Dyke St.,Confirmed,10000577,17835
8001958,"Gibsonia, PA 15044",Processing,10000580,17850
8001968,118 Division Court,Processing,10000583,17865
8001978,"Lacey, WA 98503",Dispatched,10000586,17880
8001988,807 Iroquois Street,Confirmed,10000589,17895
8001998,"Windsor Mill, MD 21244",Confirmed,10000592,17910
8002008,306 Applegate St.,Confirmed,10000595,17925
8002018,"Malden, MA 02148",Confirmed,10000598,17940
8002028,865 Peachtree St.,Confirmed,10000601,17955
8002038,"Brooklyn, NY 11201",Delivered,10000604,17970
8002048,8894 Division Street,Dispatched,10000607,17985
8002058,"Melrose, MA 02176",Delivered,10000610,18000
8002068,85 Wall Street,Delivered,10000613,18015
8002078,"Alexandria, VA 22304",Processing,10000616,18030
8002088,3 Tanglewood Avenue,Confirmed,10000619,18045
8002098,"Encino, CA 91316",Confirmed,10000622,18060
8002108,977 Prince Dr.,Dispatched,10000625,18075
8002118,"Antioch, TN 37013",Confirmed,10000628,18090
8002128,41 Arlington St.,Delivered,10000631,18105
8002138,"Ridgefield, CT 06877",Delivered,10000634,18120
8002148,443 Strawberry St.,Dispatched,10000637,18135
8002158,"Summerville, SC 29483",Confirmed,10000640,18150
8002168,37 Shirley Rd.,Delivered,10000643,18165
8002178,"Dacula, GA 30019",Delivered,10000646,18180
8002188,42 County Road,Dispatched,10000649,18195
8002198,"Peabody, MA 01960",Dispatched,10000652,18210
8002208,149 Brown Ave.,Dispatched,10000655,18225
8002218,"Powell, TN 37849",Delivered,10000658,18240
8002228,8957 Mill Pond Dr.,Delivered,10000661,18255
8002238,"Erlanger, KY 41018",Dispatched,10000664,18270
8002248,561 6th Ave.,Delivered,10000667,18285
8002258,"Dalton, GA 30721",Processing,10000670,18300
8002268,700 S. Madison St.,Processing,10000673,18315
8002278,"Woodside, NY 11377",Dispatched,10000676,18330
8002288,9133 Cobblestone St.,Dispatched,10000679,18345
8002298,"Johnston, RI 02919",Processing,10000682,18360
8002308,42 South Argyle Court,Processing,10000685,18375
8002318,"Utica, NY 13501",Processing,10000688,18390
8002328,942 Branch Ave.,Confirmed,10000691,18405
8002338,"Wayne, NJ 07470",Processing,10000694,18420
8002348,9660 Hillcrest Lane,Dispatched,10000697,18435
8002358,"New Windsor, NY 12553",Delivered,10000700,18450
8002368,255 Country Drive,Processing,10000703,18465
8002378,"Wappingers Falls, NY 12590",Confirmed,10000706,18480
8002388,103 Bridle St.,Delivered,10000709,18495
8002398,"Leesburg, VA 20175",Delivered,10000712,18510
8002408,403 Broad Lane,Dispatched,10000715,18525
8002418,"Bayonne, NJ 07002",Delivered,10000718,18540
8002428,968 Johnson St.,Dispatched,10000721,18555
8002438,"Olney, MD 20832",Confirmed,10000724,18570
8002448,879 Fifth Ave.,Delivered,10000727,18585
8002458,"Ashburn, VA 20147",Processing,10000730,18600
8002468,94 Linden Street,Processing,10000733,18615
8002478,"Oak Forest, IL 60452",Dispatched,10000736,18630
8002488,48 Pineknoll Rd.,Delivered,10000739,18645
8002498,"Loxahatchee, FL 33470",Processing,10000742,18660
8002508,688 Summerhouse Ave.,Processing,10000745,18675
8002518,"Liverpool, NY 13090",Delivered,10000748,18690
8002528,9057 North Lyme Circle,Confirmed,10000751,18705
8002538,"Alabaster, AL 35007",Delivered,10000754,18720
8002548,871 Boston Dr.,Processing,10000757,18735
8002558,"Tupelo, MS 38801",Confirmed,10000760,18750
8002568,825 East Saxon St.,Dispatched,10000763,18765
8002578,"Chicopee, MA 01020",Dispatched,10000766,18780
8002588,7971 Newbridge Lane,Processing,10000769,18795
8002598,"Titusville, FL 32780",Delivered,10000772,18810
8002608,50 Leeton Ridge St.,Dispatched,10000775,18825
8002618,"Dearborn Heights, MI 48127",Dispatched,10000778,18840
8002628,217 Aspen St.,Processing,10000781,18855
8002638,"Rome, NY 13440",Delivered,10000784,18870
8002648,2 East Shady Street,Dispatched,10000787,18885
8002658,"Libertyville, IL 60048",Processing,10000790,18900
8002668,8370 Stonybrook St.,Delivered,10000793,18915
8002678,"Warren, MI 48089",Delivered,10000796,18930
8002688,67 Prairie St.,Confirmed,10000799,18945
8002698,"Branford, CT 06405",Processing,10000802,18960
8002708,30 Kingston Street,Confirmed,10000805,18975
8002718,"Villa Park, IL 60181",Confirmed,10000808,18990
8002728,8935 Bay Meadows St.,Delivered,10000811,19005
8002738,"Methuen, MA 01844",Dispatched,10000814,19020
8002748,33 Sunnyslope Ave.,Delivered,10000817,19035
8002758,"Raleigh, NC 27603",Processing,10000820,19050
8002768,914 Windsor Road,Processing,10000823,19065
8002778,"Deer Park, NY 11729",Dispatched,10000826,19080
8002788,86 Acacia Avenue,Processing,10000829,19095
8002798,"New Haven, CT 06511",Processing,10000832,19110
8002808,7127 Border Drive,Dispatched,10000835,19125
8002818,"Conyers, GA 30012",Delivered,10000838,19140
8002828,392 Beaver Ridge Street,Confirmed,10000841,19155
8002838,"Littleton, CO 80123",Delivered,10000844,19170
8002848,7416 W. Williams St.,Confirmed,10000847,19185
8002858,"Rockville, MD 20850",Delivered,10000850,19200
8002868,7617 State Drive,Confirmed,10000853,19215
8002878,"Iowa City, IA 52240",Processing,10000856,19230
8002888,7109 Catherine Avenue,Processing,10000859,19245
8002898,"Bristol, CT 06010",Delivered,10000862,19260
8002908,72 Trout St.,Confirmed,10000865,19275
8002918,"Doylestown, PA 18901",Delivered,10000868,19290
8002928,692 West Church Ave.,Processing,10000871,19305
8002938,"Nanuet, NY 10954",Delivered,10000874,19320
8002948,823 Sunbeam Street,Confirmed,10000877,19335
8002958,"Kennewick, WA 99337",Dispatched,10000880,19350
8002968,660 Foster Road,Processing,10000883,19365
8002978,"Enfield, CT 06082",Dispatched,10000886,19380
8002988,9728 Tanglewood Street,Dispatched,10000889,19395
8002998,"New City, NY 10956",Delivered,10000892,19410
8003008,31 3rd Ave.,Delivered,10000895,19425
8003018,"Missoula, MT 59801",Confirmed,10000898,19440
8003028,7400 Old Coffee St.,Delivered,10000901,19455
8003038,"Baltimore, MD 21206",Dispatched,10000904,19470
8003048,23 Cardinal Street,Confirmed,10000907,19485
8003058,"Whitehall, PA 18052",Delivered,10000910,19500
8003068,8045 Fairfield Lane,Confirmed,10000913,19515
8003078,"Elmhurst, NY 11373",Confirmed,10000916,19530
8003088,8060 Oak Valley Ave.,Processing,10000919,19545
8003098,"Hinesville, GA 31313",Dispatched,10000922,19560
8003108,13 Shub Farm Ave.,Confirmed,10000925,19575
8003118,"Bristow, VA 20136",Confirmed,10000928,19590
8003128,56 Old Tunnel Street,Processing,10000931,19605
8003138,"Clarksburg, WV 26301",Dispatched,10000934,19620
8003148,41 Lilac St.,Delivered,10000937,19635
8003158,"Stow, OH 44224",Dispatched,10000940,19650
8003168,73 W. Corona Road,Confirmed,10000943,19665
8003178,"Geneva, IL 60134",Delivered,10000946,19680
8003188,8577 Nichols Street,Dispatched,10000949,19695
8003198,"Cheshire, CT 06410",Dispatched,10000952,19710
8003208,8704 Lakewood Street,Processing,10000955,19725
8003218,"Massapequa Park, NY 11762",Dispatched,10000958,19740
8003228,9131 North Rockville St.,Dispatched,10000961,19755
8003238,"Stoughton, MA 02072",Processing,10000964,19770
8003248,920 White Circle,Processing,10000967,19785
8003258,"North Ridgeville, OH 44039",Delivered,10000970,19800
8003268,8 William Court,Confirmed,10000973,19815
8003278,"Clinton, MD 20735",Delivered,10000976,19830
8003288,32 Henry Smith Ave.,Dispatched,10000979,19845
8003298,"Plainview, NY 11803",Dispatched,10000982,19860
8003308,757 Spring St.,Delivered,10000985,19875
8003318,"Orange, NJ 07050",Processing,10000988,19890
8003328,8645 Buttonwood Ave.,Dispatched,10000991,19905
8003338,"Ossining, NY 10562",Processing,10000994,19920
8003348,9460 North Logan Street,Dispatched,10000997,19935
8003358,"Bozeman, MT 59715",Confirmed,10001000,19950
8003368,70 Blackburn Circle,Confirmed,10001003,19965
8003378,"Dublin, GA 31021",Confirmed,10001006,19980
8003388,7553 Liberty Avenue,Confirmed,10001009,19995
8003398,"Schenectady, NY 12302",Delivered,10001012,20010
8003408,7975 S. Walnutwood Court,Dispatched,10001015,20025
8003418,"Manahawkin, NJ 08050",Confirmed,10001018,20040
8003428,57 Marlborough Ave.,Dispatched,10001021,20055
8003438,"Goodlettsville, TN 37072",Processing,10001024,20070
8003448,7834 North Ivy Ave.,Delivered,10001027,20085
8003458,"Beckley, WV 25801",Confirmed,10001030,20100
8003468,170 Pacific Rd.,Confirmed,10001033,20115
8003478,"Wyandotte, MI 48192",Confirmed,10001036,20130
8003488,7260 Railroad St.,Confirmed,10001039,20145
8003498,"Stuart, FL 34997",Processing,10001042,20160
8003508,489 Homewood Drive,Confirmed,10001045,20175
8003518,"Fort Lauderdale, FL 33308",Confirmed,10001048,20190
8003528,9110 Pacific Street,Delivered,10001051,20205
8003538,"Sarasota, FL 34231",Confirmed,10001054,20220
8003548,9356 SE. Bayport St.,Confirmed,10001057,20235
8003558,"Xenia, OH 45385",Processing,10001060,20250
8003568,734 Saxon Ave.,Processing,10001063,20265
8003578,"Wilson, NC 27893",Processing,10001066,20280
8003588,9002 Rockledge Lane,Confirmed,10001069,20295
8003598,"Philadelphia, PA 19111",Processing,10001072,20310
8003608,9220 Garfield St.,Delivered,10001075,20325
8003618,"Pleasanton, CA 94566",Delivered,10001078,20340
8003628,192 Pendergast Ave.,Confirmed,10001081,20355
8003638,"Mchenry, IL 60050",Dispatched,10001084,20370
8003648,793 N. Monroe St.,Confirmed,10001087,20385
8003658,"Miami Beach, FL 33139",Delivered,10001090,20400
8003668,883 Princess St.,Dispatched,10001093,20415
8003678,"Oklahoma City, OK 73112",Delivered,10001096,20430
8003688,85 Grove Ave.,Confirmed,10001099,20445
8003698,"Ann Arbor, MI 48103",Processing,10001102,20460
8003708,352 W. Briarwood Ave.,Delivered,10001105,20475
8003718,"Attleboro, MA 02703",Processing,10001108,20490
8003728,8574 Windfall St.,Dispatched,10001111,20505
8003738,"Bellmore, NY 11710",Dispatched,10001114,20520
8003748,229 Theatre Ave.,Processing,10001117,20535
8003758,"Helotes, TX 78023",Confirmed,10001120,20550
8003768,667 Dunbar Ave.,Dispatched,10001123,20565
8003778,"Sterling, VA 20164",Dispatched,10001126,20580
8003788,800 Hillcrest Ave.,Delivered,10001129,20595
8003798,"Richardson, TX 75080",Delivered,10001132,20610
8003808,55 Bohemia St.,Processing,10001135,20625
8003818,"Battle Creek, MI 49015",Delivered,10001138,20640
8003828,213 Overlook St.,Delivered,10001141,20655
8003838,"East Stroudsburg, PA 18301",Processing,10001144,20670
8003848,636 Valley Lane,Confirmed,10001147,20685
8003858,"Sanford, NC 27330",Confirmed,10001150,20700
8003868,9151 Albany Ave.,Delivered,10001153,20715
8003878,"Michigan City, IN 46360",Dispatched,10001156,20730
8003888,991 Cardinal Street,Delivered,10001159,20745
8003898,"York, PA 17402",Processing,10001162,20760
8003908,478 Lookout Street,Processing,10001165,20775
8003918,"Phoenixville, PA 19460",Confirmed,10001168,20790
8003928,5 Big Rock Cove St.,Delivered,10001171,20805
8003938,"Ankeny, IA 50023",Delivered,10001174,20820
8003948,55 Essex Rd.,Processing,10001177,20835
8003958,"Newburgh, NY 12550",Confirmed,10001180,20850
8003968,9265 Swanson Drive,Dispatched,10001183,20865
8003978,"Potomac, MD 20854",Processing,10001186,20880
8003988,8603 High Ridge Ave.,Dispatched,10001189,20895
8003998,"Hummelstown, PA 17036",Processing,10001192,20910
8004008,7084 Wild Horse Drive,Dispatched,10001195,20925
8004018,"Holyoke, MA 01040",Confirmed,10001198,20940
8004028,15 Washington Dr.,Dispatched,10001201,20955
8004038,"Stratford, CT 06614",Delivered,10001204,20970
8004048,307 Virginia Street,Dispatched,10001207,20985
8004058,"Tucson, AZ 85718",Confirmed,10001210,21000
8004068,195 Glen Eagles Dr.,Confirmed,10001213,21015
8004078,"Algonquin, IL 60102",Dispatched,10001216,21030
8004088,48 Henry Smith St.,Processing,10001219,21045
8004098,"Rochester, NY 14606",Processing,10001222,21060
8004108,13 Whitemarsh St.,Dispatched,10001225,21075
8004118,"Glen Ellyn, IL 60137",Confirmed,10001228,21090
8004128,4 Brook Drive,Dispatched,10001231,21105
8004138,"South Portland, ME 04106",Delivered,10001234,21120
8004148,597 Birch Hill Dr.,Dispatched,10001237,21135
8004158,"Hudsonville, MI 49426",Processing,10001240,21150
8004168,270 Foster Dr.,Confirmed,10001243,21165
8004178,"Wooster, OH 44691",Delivered,10001246,21180
8004188,2 Foster Street,Delivered,10001249,21195
8004198,"Leland, NC 28451",Processing,10001252,21210
8004208,89 Fieldstone Rd.,Dispatched,10001255,21225
8004218,"Hillsboro, OR 97124",Delivered,10001258,21240
8004228,282 Market Dr.,Dispatched,10001261,21255
8004238,"Matthews, NC 28104",Processing,10001264,21270
8004248,9512 S. Somerset Court,Processing,10001267,21285
8004258,"Lanham, MD 20706",Processing,10001270,21300
8004268,387 Rockland Ave.,Delivered,10001273,21315
8004278,"Salisbury, MD 21801",Processing,10001276,21330
8004288,44 Locust St.,Confirmed,10001279,21345
8004298,"Hoffman Estates, IL 60169",Dispatched,10001282,21360
8004308,66 Highland Court,Processing,10001285,21375
8004318,"Suitland, MD 20746",Delivered,10001288,21390
8004328,7460 Middle River Ave.,Delivered,10001291,21405
8004338,"Dorchester Center, MA 02124",Processing,10001294,21420
8004348,711 Ivy St.,Dispatched,10001297,21435
8004358,"Flemington, NJ 08822",Confirmed,10001300,21450
8004368,962 Peg Shop Road,Confirmed,10001303,21465
8004378,"Paramus, NJ 07652",Dispatched,10001306,21480
8004388,232 Pineknoll St.,Confirmed,10001309,21495
8004398,"Des Plaines, IL 60016",Confirmed,10001312,21510
8004408,89 NW. Ivy Ave.,Dispatched,10001315,21525
8004418,"Shakopee, MN 55379",Dispatched,10001318,21540
8004428,9206 Sulphur Springs St.,Confirmed,10001321,21555
8004438,"Latrobe, PA 15650",Delivered,10001324,21570
8004448,642 Cambridge St.,Confirmed,10001327,21585
8004458,"Fuquay Varina, NC 27526",Processing,10001330,21600
8004468,8069 Blackburn Drive,Dispatched,10001333,21615
8004478,"Batavia, OH 45103",Delivered,10001336,21630
8004488,76 South Ave.,Confirmed,10001339,21645
8004498,"Bradenton, FL 34203",Processing,10001342,21660
8004508,70 Edgemont Road,Dispatched,10001345,21675
8004518,"Fairhope, AL 36532",Confirmed,10001348,21690
8004528,8628 Ohio Street,Delivered,10001351,21705
8004538,"Pawtucket, RI 02860",Processing,10001354,21720
8004548,45 Bridle Court,Delivered,10001357,21735
8004558,"Hialeah, FL 33010",Processing,10001360,21750
8004568,8102 4th St.,Processing,10001363,21765
8004578,"Uniontown, PA 15401",Confirmed,10001366,21780
8004588,957 E. Lookout Ave.,Delivered,10001369,21795
8004598,"Dayton, OH 45420",Delivered,10001372,21810
8004608,7306 Peg Shop St.,Delivered,10001375,21825
8004618,"Ozone Park, NY 11417",Processing,10001378,21840
8004628,9 Somerset St.,Processing,10001381,21855
8004638,"Collegeville, PA 19426",Processing,10001384,21870
8004648,523 Leeton Ridge Street,Dispatched,10001387,21885
8004658,"North Canton, OH 44720",Processing,10001390,21900
8004668,302 North Bay Meadows Dr.,Processing,10001393,21915
8004678,"Maspeth, NY 11378",Confirmed,10001396,21930
8004688,63 W. Winchester St.,Processing,10001399,21945
8004698,"Glasgow, KY 42141",Dispatched,10001402,21960
8004708,84 Monroe Rd.,Processing,10001405,21975
8004718,"Zionsville, IN 46077",Confirmed,10001408,21990
8004728,76 Brook Ave.,Confirmed,10001411,22005
8004738,"Fairfax, VA 22030",Dispatched,10001414,22020
8004748,248 Water St.,Dispatched,10001417,22035
8004758,"Freeport, NY 11520",Confirmed,10001420,22050
8004768,79 W. Railroad St.,Delivered,10001423,22065
8004778,"Linden, NJ 07036",Dispatched,10001426,22080
8004788,633 SW. Myers Avenue,Delivered,10001429,22095
8004798,"Rockville Centre, NY 11570",Dispatched,10001432,22110
8004808,10 Fairground St.,Confirmed,10001435,22125
8004818,"Mesa, AZ 85203",Processing,10001438,22140
8004828,509 Applegate Street,Dispatched,10001441,22155
8004838,"Eau Claire, WI 54701",Delivered,10001444,22170
8004848,776 Front Ave.,Processing,10001447,22185
8004858,"Somerset, NJ 08873",Processing,10001450,22200
8004868,58 New Street,Dispatched,10001453,22215
8004878,"Blackwood, NJ 08012",Confirmed,10001456,22230
8004888,35 Cherry Hill Ave.,Dispatched,10001459,22245
8004898,"Evansville, IN 47711",Processing,10001462,22260
8004908,51 High Ridge St.,Delivered,10001465,22275
8004918,"The Villages, FL 32162",Confirmed,10001468,22290
8004928,7874 Woodsman Street,Dispatched,10001471,22305
8004938,"Altoona, PA 16601",Confirmed,10001474,22320
8004948,140 Manor Station Rd.,Dispatched,10001477,22335
8004958,"Centreville, VA 20120",Processing,10001480,22350
8004968,45 East Dr.,Processing,10001483,22365
8004978,"Trumbull, CT 06611",Processing,10001486,22380
8004988,78 Linden Ave.,Processing,10001489,22395
8004998,"Newtown, PA 18940",Delivered,10001492,22410
8005008,342 Ocean Street,Processing,10001495,22425
